state,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,,,,,
AL,34,250.86,930.43,2077.86,3750.86,5149.29,6563.14,8154.14,10195.86,12249.43,15070.71,18224.29,21015.86,26089.71,30770.43,37000,45068.43,55571,68658.57,80922,92303.57,102431.71,109373.43,116779,126072.43,133010.14,139366.71,145673.14,153078.86,159690,166248.71,173630.43,185308.71,194931.71,205368.71,219536.86,234829.57,250672.43,273666.86,298950,326578.86,349894.14,376320.14,404680.43,424795.57,443919.57,461068.57,473529.14,481582.71,487980.57,494457.71,500355.14,506594.14,511791.86,,,,,,
AK,4.71,37.57,120.43,195,273.71,321.43,344.43,367.29,380.57,396.86,413.86,482.43,609.57,743.43,885.14,1100.43,1401.57,1819.86,2392.71,3180.14,4009.86,4521.86,5105,5588.43,6078.14,6633.57,7195.43,7761.57,8480,9463.57,10741.86,12139.43,14279.86,16964,20185,24225.14,28181.86,32442.29,37285.29,41271.86,43967,45740.14,48020.57,50103.29,51743.14,53060.57,54133.29,55295,56266.14,57272.71,58206.57,59179.86,60128,61037.71,,,,,,
AZ,21,256.71,1121.14,2406.29,3678.29,5099.71,6766.43,8977.43,11510.14,14240.71,16622.29,20584.57,27781.86,37869.43,55206.57,76633.86,101832.86,125371.57,145898.57,163952.29,179373.86,187886,194123.57,198618.86,202115.57,205935,209097.43,214495,217693.29,221418.71,226270,232114.71,239161.14,248482.14,261082,278763.29,303822.71,331974.71,371547.14,418553.71,462764.29,504159.71,560862.43,628047.29,681282.57,728551.29,762460.86,784692.14,798791.86,809779.57,818356.43,827012.71,833268.43,836698.71,,,,,,
AR,24.43,210.29,517.43,925.86,1414.57,2068.14,3057.71,3487.43,4045,4856.71,6047.57,7542.29,9740.29,12826.43,16218.86,20310.57,24244,29016.71,33944.29,39458.29,44684.71,49936,53227.71,57065.86,61307.71,66274.71,70924.29,76474.57,82180.71,87691.86,93684.14,99922.71,106903.71,113921.86,123310.43,134749.43,146902,158207,172759.43,187697.14,203775.14,217922.14,236648.14,256872.86,272879.71,285736,297149.29,307818.14,313244,316189.57,321830.71,325124.43,327228.14,328830.86,,,,,,
CA,637,2400.71,7693.29,16386,24635.86,34083.43,45543,57084.57,69760,82407.29,97320.57,115329.29,134719.14,156568.71,185352.14,225649.29,279788,337466.86,402262.86,468303.29,521571.29,575171.14,634195,676341.43,712297,743001.71,766905.14,791700.57,814973,837664.43,860521.86,883583.86,914316,944998.43,986838,1048528,1136807.86,1239404.57,1400870,1632433.43,1929853.71,2199564,2471679.86,2771506.57,3032931,3209235.29,3338725.86,3429139.14,3491951.43,3537747.29,3574089.57,3603975.71,3626214.29,3645662.29,,,,,,
CO,165,797.29,2686.14,5166.29,7613.29,10129,13798.86,16906.43,19818.86,22182.57,24318.29,26539.86,28148.57,29311.29,30742.57,32516.57,34489.86,37413.86,40765.57,44810.71,48213,51150.14,53419.43,55709.43,57855.14,59814.57,62160.14,65948.29,70027,74133.14,79632.57,86985.14,97410.57,113160.29,136240.86,169317.43,203735.29,234936,266266.43,292627.86,313049.29,328729.43,345797.86,364668.29,378381.86,389507.14,399137.14,408614.86,416971.14,424258.14,432041.43,439503.14,446565.14,453621.43,,,,,,
CT,60.14,523.43,2555.43,7016.86,13156,19723.57,25792.57,30101.57,33909.43,37854,40736.14,42576.29,44046.43,45174.86,45802.14,46380.29,46925.29,47469.57,48040.71,49085.43,50010.29,50528.43,51137,51882.57,52812.43,53600.86,54779.43,55936,57075.57,58909.14,61011,63887.14,67780.71,73536.43,81352.14,92944.86,105247.29,117342.14,134396.29,152517.14,166875.86,178681,194252,212929.57,228934.29,242582.86,253641.43,262636.86,269476.29,275524.43,281959.14,287082.86,292657.14,299405.29,,,,,,
DE,13.57,84.71,279.29,821.71,1743.71,2797.57,4168.29,5362.86,6612.57,7868,8903.71,9557.71,9959.14,10336,10800.43,11346.43,12249.57,12887.29,13624.43,14405.71,15066.71,15655.29,16525.29,16908.43,17420.14,18145.43,18965.71,19655.14,20403,21338,22237.57,23169,24122.43,25264.57,26829.14,29124.86,32199.14,35748.86,40715.71,46350,51112.86,55558.86,60361.71,65823.14,70701.71,74961.57,78279.29,80778.43,83139.86,85009.86,86965,88597.14,90623,92394.14,,,,,,
DC,24.43,130.43,435.43,1132.57,1981.86,2932.43,3911.86,5154,6352.43,7297,8203.71,8847.86,9398.43,9785.29,10056.43,10289,10538.43,10906.43,11348,11857.86,12325.29,12811.57,13265.43,13633.14,13998.29,14311.29,14639.86,14980.57,15268,15582.29,16019,16404.86,16835.29,17432,18118.57,19139,20267.29,21562.29,23335.43,25097.57,26764.14,28280.86,29975.29,32027.29,33976.43,35497.86,36951.14,38120.57,38999.57,39760.86,40663.29,41633.86,42611.57,43367.57,,,,,,
FL,194.29,1352.29,5912.14,13572.57,20754.57,27055.29,32101.71,36768.43,41179.57,46287.57,51472.71,57036,65067.43,78016.43,101076,146200.29,206491.86,280009.43,359216.57,432592.57,491404.57,537884.71,576422.43,602920.29,625900.71,647956.14,666303.29,685639.71,702372.43,718502.43,736238.57,757660.29,782855,812483.57,847881.29,891080.14,945000,1001656.57,1066353.86,1135891.29,1213385.57,1283703.43,1378853,1490233.57,1580392.71,1658086.71,1727882.29,1784672.43,1832331.43,1874038.29,1913491,1949045.71,1980703.71,2012674.43,,,,,,
GA,134,939.29,3523.86,8127.86,13355.43,18561.57,23260.86,28399.43,32697.71,36832.86,41526.71,45619.14,50165,55616.71,63235.29,75366.86,91730.43,112010.14,133576,157072.43,180199.86,202945.57,222557.43,239906,254875.14,267729,279130.43,290194.43,299348.57,319609.14,338943,350481.29,363200.43,377041,393762.71,412342,435528.29,456939.43,489756.71,529520.71,574747.29,619499.43,675753.29,740518.29,798091,849056.71,889642.14,920163,943225.29,963764.57,984410.14,999740.86,1010366.57,1021708.43,,,,,,
HI,11.29,72.71,202.14,385.86,502.29,574.71,601,613.43,623,631.14,633.57,642,666.29,722.14,805.43,887.43,1028,1221,1378.71,1716.14,2443.57,3637.43,5180.86,6777.71,8493.43,9947.43,10881.71,11615.71,12353,13026.86,13684.71,14238.29,14849.29,15387.57,16121.43,16707.43,17374,18002.86,18642.14,19430.29,20359.43,21132.43,22125,23405.43,24378.57,25167.57,25856.57,26418,26792.43,27114,27485.14,27856.43,28320.43,28894.57,,,,,,
ID,8.43,79.29,472.14,1166.57,1507.57,1733.57,1931.86,2103.43,2271.29,2457.14,2676.43,2912.29,3198.71,3508.43,4300,5853.14,8238.57,11568.71,15401.14,18847.86,22015.43,25370.14,28200.86,30356.14,32418.57,34273.29,36063.29,38314.14,41406.29,44942,49201.57,54292.86,60495,66684.71,74910.29,84223,93828.14,102546,112990.14,123129,131704.29,137920.86,144147.86,150819,156373.43,160304,163433,165903.57,167918.71,169766.29,171757.29,173643.71,175869.14,178021.29,,,,,,
IL,167.86,1373.29,5275.14,12549.71,21931.14,31957.43,46085.14,63536.29,80372,96620.14,111546.43,121715.71,129160.29,134276.43,138780.43,143994.14,149565,156394.43,164659.86,174421.86,185346,197482.86,210132.14,224028.57,237490.14,253643.71,266021,279074.29,293173.86,307617.43,326288.43,352679.43,385318.71,431683.29,501508.57,586963.29,666760.86,731633.14,797824,857864.57,907649.43,946594.86,988686,1037394.71,1075404,1107625.43,1131483.71,1151152.57,1166371.71,1178982.57,1191630.43,1203265.29,1214373.57,1227249.57,,,,,,
IN,27.86,313.29,1908.71,4969,8284.43,11719.29,16004.29,20906.14,25139,28939.57,32494.57,35759.86,38614.86,41324,43735.29,46403.71,49498.14,53465.14,58618,64495.43,70226.43,76740.29,82949.29,89372.86,96197.43,102365.14,108512.57,114254.86,120551.14,128434.14,138819.57,151642.29,167261.57,187994.71,217695.29,259127.71,303488.43,342811.57,389534.71,432881,470732.86,501117,533767.57,569487,595742.71,615990.57,631348.14,643700.43,652727.57,659480,665442,671015.29,676378.57,681829.57,,,,,,
IA,27.14,108.29,422.14,966,1747.14,3182.71,5898.57,9567.14,12476.57,15045.29,17655.29,19871.57,22124.43,24164.86,26280.57,28922,31908.43,35694.29,39299.71,42744.14,46042.86,49212.29,52841.14,57523.29,65216.71,70622,75373.43,81237.57,87540.57,93664.71,100883.14,108541.14,117854.14,133321.57,159726.29,190094,214853.43,231359,245948,257574.14,269117.14,277299.43,287172.71,298337.57,306633.86,314229.57,320456,325507.86,329902,333364,337078.29,340362.57,343459.43,346574,,,,,,
KS,15.43,94.71,381.43,860.86,1388.71,2072.86,3465,5385,7207.43,8355.71,9273.14,10058.57,10712,11480.86,12599.43,14439.57,16935.14,20017,23277.14,26267.14,29038.29,31920.29,35284.14,38863.43,43130,47195.71,50563.43,54752.14,59355.14,63667.14,68791.43,74313,80442.43,90061,104659.86,123669.29,143312.71,159661,176728.14,192662.29,207549.29,218380.86,234382,249732.14,262243.86,272058.43,279431,285953.86,290363,294812.14,297383.71,299469.43,301136.43,302630.57,,,,,,
KY,25.71,139.57,518,1140.43,2071.14,3050.43,4217.86,5470.57,6780.71,8028.71,9034.14,10173.57,11650.29,12850.29,14151.29,15701,17448.57,20280.29,24017.86,28348.86,32646.57,37068.14,41730,46253.86,51205.43,56725.71,61349.43,66140.71,71278,76996.43,83335.71,90855.86,100448.71,112259.57,125852.29,143178.29,163718.57,184108.43,207542.43,228997,247417.57,261724.86,282190.86,309848.14,332474.14,352038.14,368883.86,383332,393749,402004.14,409204.43,414960.43,420362.57,425040.29,,,,,,
LA,174.43,1256.71,4919.57,14611,20982.71,24445.43,27112.71,29761.71,32053,34949,37896.43,40405.14,43320,47370,50884.57,57637.14,67042.14,80390.29,94591.29,109148.43,121658.43,132079.43,138660.43,143824.14,149030.57,154164,158707.29,162710.14,166429.86,170507.29,174933.71,179456.57,184192.14,188452.86,193959.71,206157,221492.71,235573.71,253202.57,270540,288523.86,303464,324573.57,349692.43,370518,386600.14,402313.29,412997,420101.86,424865.14,430479.57,434362.71,437860.57,440984.14,,,,,,
ME,23,105.43,275.71,496.14,690.43,878.29,1026.29,1210.71,1462.43,1726.86,2075,2346.14,2582,2802,2980,3220.14,3427.71,3551.14,3694.71,3826.43,3963,4048.57,4189,4352,4527.86,4698.43,4887.57,5108.14,5320.29,5546.57,5752.71,5965.57,6264.57,6859.29,7897.86,9158.14,10582.14,11793.71,13779.71,16438.57,19538.14,22557.43,26040.86,29967,34042.57,37264,39653.57,41438.71,42659.14,43633.57,44777.86,45937.29,47220.14,48629,,,,,,
MD,52.29,319,1499,4231.71,8891.71,13652.86,19391.71,26451.43,33361.14,40248.71,47498,54103.14,59086.14,62655.14,65250.43,67800.29,70582.57,74291.57,79272.57,85194.57,91483.71,96646.86,101213.29,105056.43,108804.14,113107,117141.29,120983.57,124351.86,128247.86,132332.14,136642.71,141454,147486,155961.86,168323.86,184134.57,199158.86,217782.14,237021.71,253563.29,269687.29,288034,309376.29,328266.29,343161.14,355394.14,364597.57,371747.43,377270,382810.57,388234,394276.43,400992.29,,,,,,
MA,203.43,1110.71,5932.57,14201.14,26634,39808.57,56641.29,69109.29,78620.29,86913.57,93043.57,99200.14,103637.57,105743.57,107249.14,108758.71,110202,111855.71,113777.14,115968.57,118783.86,121355.29,123795.29,126036.86,126277.29,122708.29,125093.14,127796.14,131116.43,135389.71,139655.71,144609.86,151847.71,160860.43,173369.57,190761.86,208709.14,228165.86,260317.71,294641.29,327741.14,357910.29,393208.43,437438.14,473282.86,503012.86,526108.57,544930,559046,570721.29,582178.29,592540.57,603515.43,616231,,,,,,
MI,92,1521.86,6856.43,17157.43,25763.71,32301.71,38807.14,44064.43,47634,51728.29,54875.57,58016,64808.57,66370.43,68183,70522.14,73622.29,77680.43,82602.43,87422.71,92674.14,97630.86,102910.29,107791.29,113304.71,118466.71,124324.57,129653,136006.14,142988.14,151742.14,163671.86,180097.14,204317.29,239118.14,288181.86,338475,388533.29,435969.43,472516,500332,519391.14,541292.86,565697.14,584121.86,598822,611429.71,622316.43,630535.29,638459.57,647796.29,658862,674438.14,698037.29,,,,,,
MN,50,222.57,568.57,1005.71,1635.57,2477.14,4001.43,7378.43,11828,16312,21167.71,25071.71,28202.29,30743.29,33175.71,35933.86,38728.43,42702.86,46887.57,51705,56574.43,61304.57,65616.14,70220.43,75780.29,80963.86,84830.57,90626.43,97481,104780.29,113405.86,124054.57,135831.57,154498.71,185334.14,229608,275461.29,316369.14,354545.86,381027.14,398785.71,410011.29,422887.86,437444.71,447333.71,455680.57,462493,468668.43,474163.71,479616.29,485218.71,491069,498290.71,506488.86,,,,,,
MS,19.86,265.43,863.14,1766.71,2986.43,4473.71,6126.14,7913.86,9732,11506.43,13498,15739.14,17702.29,19938.43,22313,26711.71,31601.14,36987.71,44264.29,53386.14,61478.43,67793.86,72920.57,78557.29,83144.86,87134.43,90339.86,93763.29,97333,101093.43,105625.14,110945.43,116090.86,121218.86,127547.14,135215.29,143921.57,153385.29,166807.43,181516.86,196146,208939.43,224224.29,240232.43,253790.57,265614.43,275706.29,282271,287864.43,291080.57,294935.14,297839.29,300985.86,303081,,,,,,
MO,13.57,232.29,1174.57,2770.86,4437.57,5810.43,7130.57,8673.71,10032,11170.14,12286.43,13573.57,15185.71,16729,18846,21776.14,25153.57,30116.14,36388.86,45057.57,53907.86,61151.71,69657.29,77432.71,86380.43,95941.71,106038.29,116905.43,127593,137815,150289.29,163922.86,177824.86,195813.86,221991.86,256108.14,288421.86,314284.86,341934.57,367059.86,390414.14,408169.57,430060.71,453999.71,470162.14,483833.29,495158.71,503632,509335.57,513892.71,517651.43,549620.86,575269.29,579324.57,,,,,,
MT,9,47.57,180.57,309.29,391.57,433.14,448.57,454.86,459.71,471.43,480.14,516.71,550,610,732.43,932.71,1274.29,1912.57,2647.43,3448,4280.29,5070.14,5818,6571.57,7466.57,8348.29,9207.57,10595.43,12556.14,15284.57,19225.71,23576.71,28659.14,34409.43,40456,48213.29,56551,62523.29,68674.57,73674,77580.57,80288,83051.14,86856.14,89685.86,92006.57,94251.86,96155,97637.43,98992,100163.86,101135.43,102168.71,103373.71,,,,,,
NE,35.14,71.57,181.14,439.14,869.86,1632.14,3400.86,6054.57,8597.29,10621,12427,14371.29,15790.86,16916.29,17960.29,19036.86,20110.71,21485.86,22983.43,24922.43,26964,28773,30625.29,32221.29,34365.71,36299.86,38727,41498.86,44598.86,48379.71,52959.14,58849.29,64980.86,73336.71,86152.14,101637,116735.29,129372.43,141835.14,150825.86,158382.57,164299,171284.86,178128.14,183678.14,188877.71,192206.57,195071.71,197726.29,199693.14,201631.71,203596,205405,207149.14,,,,,,
NV,49.57,291.43,1024.71,2004.71,2984.57,3845.14,4726,5572.29,6236.71,7058.71,7943,8735.57,9859.14,11414.29,13677.43,17788.71,23039.71,28785,36723,43966.71,51105,56852.29,61917.43,66006.43,69259,71832.57,73858.86,76190.14,79258.43,82614.14,86454.43,90990.29,96411.86,102606.29,111433.29,122593.86,137494.57,153360.57,171328.86,189626.43,206135.71,219332.43,233788.71,250521.29,262790.43,271922.14,279208.57,284657.86,288688.29,291416.86,294120.57,296611.57,299606.29,301391.57,,,,,,
NH,21.86,100.29,319.14,699.86,1037.14,1459.57,1932.14,2580.71,3158.43,3684.57,4193.57,4684.71,5087.57,5351.86,5559,5757.29,5913.71,6068.57,6240,6460.57,6663.43,6848.14,7005.57,7129.57,7277.71,7471.29,7717.71,7960.14,8200.29,8695,9209.57,9759.71,10430.57,11331.57,12711,15038.43,17950.29,21116,25843.29,31825.29,37131.57,41611.57,47011.57,52425.86,57801.86,62660.71,66025,68615.86,71136.86,73679.29,75577.43,77073.86,78851.43,80899.57,,,,,,
NJ,261.29,3134.71,16644.57,40784.86,64906.29,88890.71,110959.57,128005.43,139431.86,147750.14,155039.43,160851.14,164549.71,167141.29,169651.86,173263.14,175449.86,177540.57,179087,181679.86,184533.14,187034.86,189676.14,191574.43,193740.86,196168.71,198844.43,201961.43,205837.29,210567.29,216176.43,222869.14,231761,243271,259531.71,283905.71,311695.43,340014,373758,407117.86,438253.43,467143.14,526847.57,590435.29,631356.43,666747.14,699341.14,725051.29,748855.57,769713.71,792796.14,816067.29,841602.29,869852.29,,,,,,
NM,21,85.29,285.86,713.86,1334.57,1998,2905.43,4006.29,5066,6077.86,7019.29,7874.71,9028.14,9838,10709.86,11965.86,13513.86,15304.86,17269.43,19447.57,21174.43,22469.29,23521.29,24492.71,25391.29,26154.14,26855.71,27732.14,29037.29,30782.86,33467,37455.86,42508,48333.71,56370.29,66708.43,83818.14,97371.57,109814,121283,131102,139214.29,147647.43,157041.43,164315.71,169753.29,174542.29,177974.71,180782.43,183076.14,185378.43,187087,188525.57,189912.57,,,,,,
NY,1519.43,21635.71,68497.86,133162.29,199069.14,251091.29,295427.14,323842,342138.86,356243.86,367390.86,376636.57,383498,388643.14,393254.14,397738.86,402394.43,407163.71,412242.57,417078.14,421659.71,426186.43,430729,434978.43,439562.71,444714,449721.29,455201.29,461419.86,470492.29,480227.43,490261.43,501912.57,516505.29,537852.71,569589.29,606824.43,654135.14,719544.14,789874.57,862361,941399.57,1037539.86,1149310.29,1254906,1346930,1426670.14,1487990.43,1546169.29,1598559.86,1650093.57,1700364.86,1748460.14,1793733,,,,,,
NC,45.86,356.71,1314.43,2892,4728.86,6719.29,9212.43,12067.43,15137.57,19110.57,23744.43,29413,36557.57,45072.43,53853.86,63746.71,74804,87744.86,101421.71,114660,126797.43,137099.57,146229.57,156890.71,168154.71,178124.43,186514.86,195202.71,208629.86,220042.14,233332.86,247615,262368.43,278909.43,295995.43,315767.71,339938,365845.71,400336,441908.86,484770,522113.86,571358.14,629968.86,679986.14,725400.29,765452,803216,828518.29,849203,866016,879271.57,890883,903243.14,,,,,,
ND,5,36.71,114.14,221.14,329.86,601.57,921.57,1233.71,1546.86,1965.43,2415,2618.29,2877.86,3109,3314.29,3546.29,3879.14,4418.14,5134.14,5987,6815.86,7742.57,8717.14,10087.14,11862.29,13741.57,15769.14,18285.71,21065.43,23981.29,27792.43,32758.71,38425,46116.71,55357.57,64858,73428.43,79144.86,84192.86,88132.57,90238.86,91739.14,93353.29,94868.14,95989.71,96946.29,97753.71,98210.43,98740.43,99392.57,99938.57,100501.57,101117.14,101821.43,,,,,,
OH,57.57,478.43,1971.14,4427,7027.86,12340.86,16449,20448.86,24704.71,28481.43,32421.57,35931.57,38846.14,41650,45553.57,51181.14,58137.57,66774.57,76192.14,85456.57,94160.29,101960.43,109198.14,115795.86,123481.71,131309.43,138481.57,145137.71,151960.29,160275.71,170517.43,183957.29,200589.14,222986.43,256348.86,304873.86,361546.57,422412.29,492242.29,569900,629707.86,676797.86,727835,785067.43,831708.71,868817,899507.57,922912.43,941240.71,955956.86,969214,980315,990894,1001537.71,,,,,,
OK,16.57,109.71,539,1343,2072.14,2718.86,3335.29,4039,4665.86,5390.29,6081.71,6605.57,7270.14,8495.86,10782.14,13358.43,16658.43,21120.43,25927.14,32440.43,38907.29,44149.29,48808.86,53656,58701.43,64390.86,70399.14,77937.57,85334.86,92409.71,100460.57,108581.29,117347.14,125390.57,138557.71,156103,177097.57,197221.71,218018.14,239364,262764.14,281790.57,304718.43,333628.14,356183.43,374435.43,390665.57,404806.29,414003.14,419749.71,424801,429268.43,432749.86,435313.71,,,,,,
OR,54,199.14,615,1120,1565.86,1954.71,2348,2771,3285.14,3686.71,3960.57,4296.57,4910.14,5877.43,7102.57,8576.14,10429,12505.29,14860.57,17134.29,19392.57,21507.86,23443.29,25145.14,26719.71,28169.71,29493.86,31065.29,33062.86,35090.43,37528.14,39860.86,42499,46008,51193.71,57799.29,66170.71,75295.43,85744.43,95117.57,103838,110529.43,118397.29,126679.86,133764,138770.71,143405.86,147558.29,150600,153307.57,155839.43,157735.29,159874.29,161883.14,,,,,,
PA,94.86,785.29,4350.29,13224.29,24265.86,34191.57,44014.14,53001.57,60502.14,66662,72321.43,76775.43,80452.29,83685.43,86706.29,90640.14,95338.14,100698.29,106530.57,113028.14,118968.71,124328.71,129719.71,134232.86,139017.57,144626,150120.14,155797.14,161976,169229,178278.71,188543.57,201498.86,217691,240453,275926.29,320548.86,368657.29,433409.57,505501.71,569638.43,622409.71,674228.43,732321.14,777697,814382.43,851840.57,878913.29,902012.57,920705.86,938592.14,956054.14,973779,994945.43,,,,,,
RI,25.86,102.86,407.86,1132.43,2946.14,5151.57,7681.29,9721.14,11422.43,12857.14,14125,15004.14,15610.57,16082.86,16464.14,16764.86,17080.71,17480.29,17925.57,18523.14,19256.29,19938.57,20562.14,21254.71,21888.71,22431.71,23134.43,23903.43,24455,25437.71,26676.86,28398,31011.29,34022.43,38069.57,43700,50090.57,56602.57,65263.14,73608.71,79855.14,84926.71,91780.14,100101.86,105928.57,111445.43,115636.57,118926.43,121660.14,123940,126473.57,128905.14,131363.29,133941.29,,,,,,
SC,40.14,287.71,976.14,2237,3452.86,4490.57,5591,6721.29,7784.14,8919.43,10233.43,12086.43,14840.43,19343,25763.29,34893.86,46156.71,58378.71,71441.14,82822.57,92973.29,101183.71,107082.29,112627.29,118937.29,125269.43,132372.29,139224.57,146488,152178.14,158222.29,164771.57,171532.86,178801,186702.29,196678,207580.86,217779.57,234297.57,254459.86,276009.29,297104.71,323826.57,357479.14,390955.71,420683.71,445328,468209.86,488210.57,505207.71,517649.71,526501.29,534215,542152.43,,,,,,
SD,10.43,27.71,102.43,298.14,889.14,1691.57,2255,2687.57,3550.71,4042.71,4589.86,5046.71,5477.86,5932.29,6322.43,6720.14,7130.71,7542.29,7962.71,8451.71,9018,9648.71,10353.71,11474.86,13482.71,15243.14,16852,19000.57,21784,24821,29031,33862.71,40002.43,47931.57,56439.43,66266.43,73905.71,80600.86,86568.71,91424.43,95143.43,97799.86,100722.86,103535.43,105666.71,107255.71,108353.29,109347.43,110444.71,111448.43,112549.57,113667.14,114724.57,116024.86,,,,,,
TN,67.86,565.71,1919.86,3757.14,5428.29,7147.43,9635,13101.57,15437.14,17869.14,20551.57,23692.14,27313.71,30898.86,35476.43,41899.86,51845.43,63668.57,78223.43,93564.86,108254.14,120771.29,131780.57,141865.29,152077.29,162179.43,171345.29,181543.57,190831.29,200603.29,213572.14,227439,245392.86,260743.57,281033.14,309722.71,336021.14,365466.57,400088.57,452201.43,512143.14,555170.71,597978.57,644246.43,674678.29,696739.57,715327.14,731347,744533.57,753131.71,762238,770344,778544.43,787118.86,,,,,,
TX,116.29,833,3297.29,8263.29,14585.57,20279.71,26156.43,33373.86,41308,50051.29,57122.57,66480.86,78069.71,93362.14,120895.29,160947.43,211935.43,277057.57,347611.43,405739.71,465041.14,517996.14,569039.71,608502.29,641127,668149.43,695952.86,736965.86,774734.29,807491,838573.86,875014.29,918564.86,968021.14,1029595.71,1103868.14,1188907.71,1264869.29,1362996.71,1501485.14,1615271.86,1714100.43,1840419.71,1997430.29,2148032.57,2274670.71,2407036.14,2508794.43,2571287.29,2609510,2662479.71,2701550.71,2733445.29,2759607.86,,,,,,
UT,41.86,248,798.43,1647.29,2377.14,3201.71,4229.29,5298.43,6353.57,7391.86,8502.14,10048.71,12379.86,14766.86,18039,21802.86,25743,30181,34512.71,38432.57,41612.29,44503.14,47012,49568.29,52206.29,55050.29,58551,64432.86,71348.43,78529,86865.43,95638.86,106088.86,118169,135142.57,156288.57,178812.86,196917,217658.43,236023.29,253235.71,267715.57,286636.14,308619.86,325179,337640.71,347558.29,355411.29,361945.71,367331.57,371703.29,375375.57,378865.86,381995.43,,,,,,
VT,11.71,83,262.57,530.43,734.86,810.86,852.29,899.29,925.71,940.71,962.29,988.57,1071.43,1128,1164.57,1207.57,1250.86,1300.71,1355.86,1400.14,1428.57,1465.29,1521.71,1564.57,1620.43,1651.29,1690.57,1716.71,1744.71,1804.86,1875,1948.29,2084.14,2222.29,2446.86,3008.29,3680.57,4236,5090,5836.86,6518.86,7112.29,7909.43,9091.71,10185.43,11150.29,12080.71,12971.43,13796.71,14572.86,15298.29,16174.57,16943.29,17814.71,,,,,,
VA,58.14,289.14,1102.71,2992.71,5738.57,9137.57,13658.29,19268.14,25006.86,31296.14,37951.71,45307,50917.57,54830.86,58449.86,62209.57,66207.86,71632.29,78373.14,85786.14,92963.43,100827.71,107411.29,113742.86,120652.43,127603.43,134614,141156.86,146726.57,152475,159742.29,166994,174521.14,183479.43,193534.29,204720,220946.57,237840.57,259053.86,285250.43,311089.57,337363.86,368102,403172.14,443450.14,478432.14,507524.14,531435.14,551423.71,565442,577178.86,586859.71,596076.43,606144,,,,,,
WA,821.57,2180.86,5089.43,8318,10539,12206.43,13990.43,16114.43,18113.43,19730.71,21282,23209.14,25411.14,27584.29,30418.14,34088.14,38327.71,43380.57,49729.71,55586,60973.86,65954,70432.86,74252.86,77686.57,80739.43,83803.14,86901.86,90545.43,94291,98581.29,103306.57,108314.71,114789.57,124408.86,138309.14,154619,172213.86,191107.14,211947.57,230448.71,243892.29,260470.86,280508.29,294806.43,306741.57,317766,326066.71,332390.86,338316.86,343803,348521.14,353385.29,358707.57,,,,,,
WV,8.57,92,252.29,543.29,794.29,1002.29,1155.71,1317.57,1447.29,1667.29,1955.29,2113.57,2246.29,2459.57,2732.14,3149.14,3960.57,4787.14,5677.14,6589.29,7418.71,8280.14,9049.86,9817,11043.86,12242.86,13626.29,14937.86,16244.14,17632.71,19458.57,21363.29,23972,27166.43,31852,38381.43,45006.14,52373.86,60802.29,69669.57,78438.71,87489,97858.86,106602.43,113518.14,119364,123584.86,126791.29,129024.43,131150.14,132943.29,134806.71,137081,139738.29,,,,,,
WI,65.57,450.71,1284.86,2422,3457.29,4555,6189.43,8398.86,10587.14,13057.86,15971,19078.86,22095.57,25600.43,27959.57,31239.71,35370.57,40757,46927,53426,59599.14,65483,70878.71,75914.86,80980.43,87146.86,95883.29,108890.14,124644.86,142087.14,161531.71,183729.86,213198.29,246941.57,288687.71,336732,381475.43,412738.43,444527.86,471934.86,495092.71,511400.57,529812.57,552769,569673.86,582724.14,593270,601612.43,607850.86,612949.57,617907,622118.71,626107,630182.86,,,,,,
WY,9.71,34.57,108,217.57,365.43,429,515.86,599.57,670.29,763,836.86,907.14,962.57,1080.43,1234.43,1454,1674.57,1908,2194.71,2535.57,2845.14,3054.71,3326.43,3612.71,3846.43,4073.14,4422.14,4976,5732,6639,7817,9330,11475.29,14184,18202.43,23543.71,29088.57,33269.43,36937.57,39684.86,42047.71,43597,45247.29,47522.14,49645.43,51010.86,52035.29,52755.43,53253.71,53885,54484.71,54899,55299.43,55725.57,,,,,,
