state,max
AK,27808.29
AL,74379
AR,38081.71
AZ,521403.43
CA,1216466.57
CO,63264
CT,87205.71
DC,43480.57
DE,54377.86
FL,438751.43
GA,96035.57
HI,22962.14
IA,53939
ID,48856.86
IL,492767.14
IN,92805.43
KS,55719.43
KY,77435.29
LA,44772.43
MA,118919.14
MD,76350.86
ME,13731.57
MI,113791.29
MN,105103.29
MO,91324.57
MS,20406.57
MT,16625.14
NC,101719.43
ND,22178.86
NE,65583.71
NH,30603
NJ,89376.57
NM,54121.71
NV,233390
NY,179527.57
OH,116402
OK,82838.86
OR,32984.86
PA,125537.57
RI,86497.14
SC,68230.43
SD,29308
TN,93365.71
TX,370561.29
UT,142273.29
VA,70828.14
VT,5897
WA,89146.29
WI,108914.71
WV,12889.14
WY,8507.14